Universidad,url_universidad,ciudad,estado,n_profesores
"!""-ESIQIE,-IPN""",https://www.misprofesores.com/escuelas/ESIQIEIPN_11886, cd de mexico.,CD DE MEXICO,48
"""-ESIQIE,-IPN""",https://www.misprofesores.com/escuelas/ESIQIEIPN_11400,CD DE MEXICO,MEXICO,554
"""-ESIQIE,-IPN"".",https://www.misprofesores.com/escuelas/ESIQIEIPN_11463,CD DE MEXICO,MEXICO,51
"""-ESIQIE,IPN""",https://www.misprofesores.com/escuelas/ESIQIEIPN_5997,MÉXICO,CD DE MÉXICO,723
"""-ESIQIE,IPN.""",https://www.misprofesores.com/escuelas/ESIQIEIPN_8828,D.F.,MÉXICO,135
"""-ESIQIE,IPN."".",https://www.misprofesores.com/escuelas/ESIQIEIPN_11403, cd de mexico.,MEXICO,2
"""-ESIQIE.,-IPN""",https://www.misprofesores.com/escuelas/ESIQIEIPN_11435,    cd de mexico.,MEXICO,1
"""Escuela Nacional de Conservación, Restauración y",https://www.misprofesores.com/escuelas/Escuela-Nacional-de-Conservacion-Restauracion-y_4581,DF,DF,16
"""UNIVERSIDAD INTERNACIONAL DE NEGOCIOS""",https://www.misprofesores.com/escuelas/UNIVERSIDAD-INTERNACIONAL-DE-NEGOCIOS_5998,MÉXICO,CD DE MEXICO,6
"""UPG""   Universidad Politécnica de Guanajuato",https://www.misprofesores.com/escuelas/UPG-Universidad-Politecnica-de-Guanajuato_10971,Cortazar,Guanajuato,37
"""´ESIQIE-IPN",https://www.misprofesores.com/escuelas/ESIQIEIPN_11137, cd de mexico.,CD DE MEXICO,29
"""´ESIQIE-IPN.",https://www.misprofesores.com/escuelas/ESIQIEIPN_11402,MEXICO,CIUDAD DE MEXICO,13
"""´ESIQIE-IPN.",https://www.misprofesores.com/escuelas/ESIQIEIPN_11138, cd de mexico.,MEXICO,719
"""´ESIQIE-IPN..",https://www.misprofesores.com/escuelas/ESIQIEIPN_11413,CD DE MEXICO,MEXICO,1
"""´´ ESIQIE-IPN....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11152,MEXICO,MEXICO,14
"""´´ ESIQIE-IPN.....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11153,MEXICO,CD DE MEXICO,60
"""´´ ESIQIE-IPN......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11154, cd de mexico.,CD DE MEXICO,10
"""´´ ESIQIE-IPN........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11156,    cd de mexico.,CD DE MEXICO,23
"""´´ ESIQIE-IPN.........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11157,    cd de mexico.,CD DE MEXICO,226
$$$$$ILVA OLIVER GUAU DALU PE RRA-ESIQIE-IPN,https://www.misprofesores.com/escuelas/ILVA-OLIVER-GUAU-DALU-PE-RRAESIQIEIPN_11859,    cd de mexico.,CD DE MEXICO,2
$$$$$ILVA OLIVER GUAU DALU PE RRA.,https://www.misprofesores.com/escuelas/ILVA-OLIVER-GUAU-DALU-PE-RRA_11858,    cd de mexico.,CD DE MEXICO,1
$1LVA 0L1VER 6PE- EST4 DESV1AND0 - L0S RECURS0S EN LA ES1Q1E,https://www.misprofesores.com/escuelas/1LVA-0L1VER-6PE-EST4-DESV1AND0-L0S-RECURS0S-EN-LA-ES1Q1E_12172, cd de mexico.,CD DE MEXICO,1
''',https://www.misprofesores.com/escuelas/_4816,','',1
((ITZ)) INSTITUTO TECNOLOGICO DE ZACATLAN,https://www.misprofesores.com/escuelas/ITZ-INSTITUTO-TECNOLOGICO-DE-ZACATLAN_6012,PUEBLA,ZACATLAN,40
(ESIQIE-IPN),https://www.misprofesores.com/escuelas/ESIQIEIPN_11087,    cd de mexico.,CD DE MEXICO,33
(ESIQIE.-IPN),https://www.misprofesores.com/escuelas/ESIQIEIPN_11088,    cd de mexico.,CD DE MEXICO,28
(ESIQIE.-IPN).,https://www.misprofesores.com/escuelas/ESIQIEIPN_11414,CA CD DE MEXICO,MEXICO,1
(ESIQIE.-IPN).,https://www.misprofesores.com/escuelas/ESIQIEIPN_11158,    cd de mexico.,CD DE MEXICO,5
(ESIQIE.-IPN).,https://www.misprofesores.com/escuelas/ESIQIEIPN_11159,MEXICO,CD DE MEXICO,5
(ESIQIE.-IPN)..,https://www.misprofesores.com/escuelas/ESIQIEIPN_11160, cd de mexico.,CD DE MEXICO,30
(ESIQIE.-IPN)...,https://www.misprofesores.com/escuelas/ESIQIEIPN_11161, cd de mexico.,CD DE MEXICO,4
(ESIQIE.-IPN)....,https://www.misprofesores.com/escuelas/ESIQIEIPN_11162,    cd de mexico.,CD DE MEXICO,3
(ESIQIE.-IPN).....,https://www.misprofesores.com/escuelas/ESIQIEIPN_11163, cd de mexico.,MEXICO,2
(ESIQIE.-IPN)......,https://www.misprofesores.com/escuelas/ESIQIEIPN_11164, cd de mexico.,CD DE MEXICO,3
(ESIQIE.-IPN).......,https://www.misprofesores.com/escuelas/ESIQIEIPN_11165, cd de mexico.,CD DE MEXICO,3
(ESIQIE.-IPN)........,https://www.misprofesores.com/escuelas/ESIQIEIPN_11166,    cd de mexico.,CD DE MEXICO,2
(ESIQIE.-IPN).........,https://www.misprofesores.com/escuelas/ESIQIEIPN_11167,    cd de mexico.,CD DE MEXICO,2
(ESIQIE.-IPN)........INSTITUTO POLITECNICO NACIONAL,https://www.misprofesores.com/escuelas/ESIQIEIPNINSTITUTO-POLITECNICO-NACIONAL_11416,CD DE ME XXX ICO,ME XXX ICO,1
(ITZ) INSTITUTO TECNOLOGICO DE ZACATLAN,https://www.misprofesores.com/escuelas/ITZ-INSTITUTO-TECNOLOGICO-DE-ZACATLAN_6011,PUEBLA,ZACATLAN,6
"*,  ESIQIE-IPN.",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11178,    cd de mexico.,CD DE MEXICO,2
"*,  ESIQIE-IPN..",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11179,MEXICO,CD DE MEXICO,2
"*,  ESIQIE-IPN...",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11180,MEXICO,MEXICO,2
"*,  ESIQIE-IPN....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11181,    cd de mexico.,CD DE MEXICO,2
"*,  ESIQIE-IPN.....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11182,    cd de mexico.,CD DE MEXICO,4
"*,  ESIQIE-IPN......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11183,    cd de mexico.,CD DE MEXICO,2
"*,  ESIQIE-IPN.......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11184, cd de mexico.,MEXICO,2
"*,  ESIQIE-IPN........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11185,    cd de mexico.,CD DE MEXICO,2
"*,  ESIQIE-IPN.........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11186,    cd de mexico.,CD DE MEXICO,2
"*,  ESIQIE-IPN..........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11187,    cd de mexico.,CD DE MEXICO,22
*ESIQIE-IPN,https://www.misprofesores.com/escuelas/ESIQIEIPN_11139, cd de mexico.,MEXICO,3
*ESIQIE-IPN*,https://www.misprofesores.com/escuelas/ESIQIEIPN_11085, cd de mexico.,CD DE MEXICO,28
*ESIQIE-IPN.,https://www.misprofesores.com/escuelas/ESIQIEIPN_11140,    cd de mexico.,CD DE MEXICO,3
*ESIQIE.-IPN*,https://www.misprofesores.com/escuelas/ESIQIEIPN_11086, cd de mexico.,CD DE MEXICO,29
*INSTITUTO -LiLa CoFe  LeJe TeC 0Ti,https://www.misprofesores.com/escuelas/INSTITUTO-LiLa-CoFe-LeJe-TeC-0Ti_6691,CD de MÉXICO,CD DE MEXICO,5
*U.A.M*,https://www.misprofesores.com/escuelas/UAM_6592,CD de MÉXICO,CD DE MEXICO,19
*U.N.A.M*,https://www.misprofesores.com/escuelas/UNAM_6574,cd de México,CD DE MEXICO,44
*u.n.a.muy.buena.escuela:  ESIQIE-IPN*,https://www.misprofesores.com/escuelas/unamuybuenaescuela-ESIQIEIPN_11076,    cd de mexico.,CD DE MEXICO,17
*un 10 para:.... ESIQIE-IPN*,https://www.misprofesores.com/escuelas/un-10-para-ESIQIEIPN_11079,    cd de mexico.,CD DE MEXICO,23
"*una muy buena escuela:  ESIQIE-IPN,*",https://www.misprofesores.com/escuelas/una-muy-buena-escuela-ESIQIEIPN_11078,    cd de mexico.,CD DE MEXICO,25
*una muy buena escuela:  ESIQIE-IPN.*,https://www.misprofesores.com/escuelas/una-muy-buena-escuela-ESIQIEIPN_11077, cd de mexico.,CD DE MEXICO,23
", prEPARATORIA ofICIAL eNRIQUE   paES  M.",https://www.misprofesores.com/escuelas/-prEPARATORIA-ofICIAL-eNRIQUE-paES-M_6126,MEXICO , méxico 0,1
", REGISTRONE INSTITUTE 2",https://www.misprofesores.com/escuelas/-REGISTRONE-INSTITUTE-2_6215,MÉXICO,MEXICO,7
",, ESIQIE-IPN.",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11168,    cd de mexico.,CD DE MEXICO,2
",, ESIQIE-IPN..",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11169,    cd de mexico.,CD DE MEXICO,20
",, ESIQIE-IPN...",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11170,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11171,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN.....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11172,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11173,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN.......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11174,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11175,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN.........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11176,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN..........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11177,    cd de mexico.,CD DE MEXICO,1
",,--U.N.A.M.--",https://www.misprofesores.com/escuelas/UNAM_6741,CD de MÉXICO,CD DE MEXICO,2
",,UNIVERSIDAD NACIONAL AUTONOMA DE MEX",https://www.misprofesores.com/escuelas/UNIVERSIDAD-NACIONAL-AUTONOMA-DE-MEX_6111,MEXICO,MEXICO,13
",.  ESIQIE-IPN.",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11188,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN..",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11189,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN...",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11190,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11191,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11192,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN.......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11193,    cd de mexico.,CD DE MEXICO,1
